n	quick_sort	merge_sort	heap_sort	bubble_sort
1000	0.000333	0.000333	0.000000	0.000000
2000	0.000667	0.000000	0.000000	0.002000
3000	0.000000	0.000333	0.000000	0.006333
4000	0.000667	0.000000	0.000333	0.011333
5000	0.000333	0.000000	0.000333	0.018000
6000	0.000667	0.000333	0.000667	0.026667
7000	0.000000	0.000667	0.000667	0.037333
8000	0.000667	0.000333	0.000667	0.053000
9000	0.001000	0.000000	0.001000	0.070333
10000	0.000667	0.000667	0.000667	0.086333
11000	0.000333	0.000667	0.001000	0.110333
12000	0.000667	0.000667	0.001000	0.145333
13000	0.001000	0.000667	0.001333	0.197333
14000	0.000667	0.001000	0.001333	0.202333
15000	0.001000	0.000667	0.001333	0.277000
16000	0.001000	0.001000	0.001000	0.312667
17000	0.001000	0.001333	0.001667	0.392667
18000	0.001333	0.001333	0.002000	0.424000
19000	0.001667	0.001000	0.002000	0.529000
20000	0.001667	0.001333	0.002333	0.532000
